stage_a_action,verification_result_simulated,posterior_risk_band,final_action,ground_truth_class,count
AUTO_APPROVE,consistent,MEDIUM,AUTO_APPROVE,LEGITIMATE,1492
AUTO_APPROVE,consistent,MEDIUM,AUTO_APPROVE,SIMULATED_ABUSE,24
AUTO_APPROVE,evidence_inconclusive,MEDIUM,AUTO_APPROVE,LEGITIMATE,178
AUTO_APPROVE,evidence_inconclusive,MEDIUM,AUTO_APPROVE,SIMULATED_ABUSE,19
AUTO_APPROVE,inconsistent,MEDIUM,AUTO_APPROVE,LEGITIMATE,79
AUTO_APPROVE,inconsistent,MEDIUM,AUTO_APPROVE,SIMULATED_ABUSE,123
AUTO_APPROVE,verifier_unavailable,MEDIUM,AUTO_APPROVE,LEGITIMATE,46
MANUAL_REVIEW,consistent,MEDIUM,MANUAL_REVIEW,LEGITIMATE,25
MANUAL_REVIEW,consistent,MEDIUM,MANUAL_REVIEW,SIMULATED_ABUSE,1
MANUAL_REVIEW,evidence_inconclusive,MEDIUM,MANUAL_REVIEW,LEGITIMATE,4
MANUAL_REVIEW,inconsistent,MEDIUM,MANUAL_REVIEW,SIMULATED_ABUSE,5
MANUAL_REVIEW,verifier_unavailable,MEDIUM,MANUAL_REVIEW,LEGITIMATE,4
VERIFY,consistent,LOW,AUTO_APPROVE,LEGITIMATE,255
VERIFY,consistent,LOW,AUTO_APPROVE,SIMULATED_ABUSE,14
VERIFY,evidence_inconclusive,MEDIUM,MANUAL_REVIEW,LEGITIMATE,43
VERIFY,evidence_inconclusive,MEDIUM,MANUAL_REVIEW,SIMULATED_ABUSE,10
VERIFY,inconsistent,HIGH,RETURN_FIRST,LEGITIMATE,16
VERIFY,inconsistent,HIGH,RETURN_FIRST,SIMULATED_ABUSE,44
VERIFY,verifier_unavailable,MEDIUM,MANUAL_REVIEW,LEGITIMATE,18
