refund_request_id,is_refund_abuse_simulated,simulation_scenario,outcome_available_at,verification_result_simulated
v2_rr_0009600,False,routine_legitimate,2011-09-14T12:14:35.277718732Z,evidence_inconclusive
v2_rr_0009601,False,routine_legitimate,2011-09-22T12:51:46.409364837Z,consistent
v2_rr_0009602,False,routine_legitimate,2011-09-22T13:45:41.288421300Z,evidence_inconclusive
v2_rr_0009603,False,first_time_refund,2011-09-18T17:07:05.248602968Z,consistent
v2_rr_0009604,False,routine_legitimate,2011-09-23T17:48:10.015821008Z,consistent
v2_rr_0009605,False,routine_legitimate,2011-09-21T19:18:49.114656394Z,consistent
v2_rr_0009606,False,routine_legitimate,2011-09-15T20:03:36.766458576Z,consistent
v2_rr_0009607,False,routine_legitimate,2011-09-17T20:21:56.138379368Z,consistent
v2_rr_0009608,True,serial_false_claim,2011-09-21T05:16:49.893566403Z,consistent
v2_rr_0009609,False,cold_start_customer,2011-09-24T06:59:51.773440658Z,consistent
v2_rr_0009610,False,routine_legitimate,2011-09-24T09:14:34.422671767Z,consistent
v2_rr_0009611,False,routine_legitimate,2011-09-19T09:47:04.535550798Z,consistent
v2_rr_0009612,False,routine_legitimate,2011-09-15T11:29:07.587982154Z,consistent
v2_rr_0009613,False,routine_legitimate,2011-09-24T13:30:15.896119803Z,consistent
v2_rr_0009614,False,routine_legitimate,2011-09-20T13:48:02.734332416Z,consistent
v2_rr_0009615,False,routine_legitimate,2011-09-18T17:17:13.823577363Z,consistent
v2_rr_0009616,False,routine_legitimate,2011-09-23T19:38:22.888094018Z,evidence_inconclusive
v2_rr_0009617,False,routine_legitimate,2011-09-20T22:20:18.237922568Z,consistent
v2_rr_0009618,False,routine_legitimate,2011-09-20T04:07:57.720785538Z,consistent
v2_rr_0009619,False,routine_legitimate,2011-09-22T04:12:44.010298530Z,consistent
v2_rr_0009620,False,unusual_legitimate_purchase,2011-09-17T04:45:10.966814354Z,consistent
v2_rr_0009621,False,routine_legitimate,2011-09-19T06:19:07.816937155Z,consistent
v2_rr_0009622,False,routine_legitimate,2011-09-19T07:50:45.991982926Z,consistent
v2_rr_0009623,False,routine_legitimate,2011-09-25T10:53:13.220845364Z,consistent
v2_rr_0009624,False,missing_evidence,2011-09-19T12:25:55.380440805Z,evidence_inconclusive
v2_rr_0009625,True,repeated_claim_pattern,2011-09-24T12:43:23.713807654Z,inconsistent
v2_rr_0009626,True,peer_deviation,2011-09-18T13:36:24.740618368Z,evidence_inconclusive
v2_rr_0009627,False,routine_legitimate,2011-09-16T14:27:55.483256820Z,evidence_inconclusive
v2_rr_0009628,False,routine_legitimate,2011-09-24T18:04:59.338915603Z,consistent
v2_rr_0009629,False,verifier_unavailable,2011-09-18T00:14:08.436740187Z,verifier_unavailable
v2_rr_0009630,False,routine_legitimate,2011-09-19T04:55:01.798921918Z,consistent
