refund_request_id,order_id,payment_id,customer_id,decision_time,reason_code,claimed_refund_amount_paise,gateway_authorized_execution_amount_paise,requested_quantity,returnless_requested,evidence_provided,is_refund_abuse_simulated,simulation_scenario,outcome_available_at,verification_result_simulated,partition,lane
v2_rr_0000000,ord_0000043,v2_pay_0000000,cus_96045bcde49cc135,2009-12-06T18:41:19.249557792Z,size,3154136,3154136,155,False,True,False,routine_legitimate,2009-12-23T18:41:19.249557792Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000001,ord_0000258,v2_pay_0000001,cus_e9cde47ec7cedcf8,2009-12-06T19:44:33.688760548Z,missing,452035,452035,81,True,True,False,routine_legitimate,2009-12-22T19:44:33.688760548Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000002,ord_0000181,v2_pay_0000002,cus_330a9d80451607f8,2009-12-08T00:32:07.285450918Z,missing,969241,969241,21,False,True,False,routine_legitimate,2009-12-29T00:32:07.285450918Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000003,ord_0000064,v2_pay_0000003,cus_1468e23ed7d1bf0e,2009-12-08T02:02:49.342741689Z,damaged,1045443,1045443,66,False,True,False,routine_legitimate,2009-12-23T02:02:49.342741689Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000004,ord_0000071,v2_pay_0000004,cus_eae4b24c8f9a6216,2009-12-08T18:29:15.704848981Z,damaged,1371129,1371129,90,False,False,False,genuine_product_defect_burst,2009-12-30T18:29:15.704848981Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000005,ord_0000060,v2_pay_0000005,cus_e465792364650445,2009-12-09T04:30:03.109198840Z,damaged,3194844,3194844,199,False,True,False,routine_legitimate,2009-12-26T04:30:03.109198840Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000006,ord_0000133,v2_pay_0000006,cus_a4a30e55ced50f92,2009-12-09T06:45:09.069889687Z,missing,1767266,1767266,87,False,True,False,high_value_loyal_customer,2009-12-30T06:45:09.069889687Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000007,ord_0000134,v2_pay_0000007,cus_b94c22463dc33fb2,2009-12-09T10:59:36.576488188Z,size,269139,269139,67,False,True,False,first_time_refund,2009-12-31T10:59:36.576488188Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000008,ord_0000087,v2_pay_0000008,cus_f996198d06925dcd,2009-12-09T13:47:17.732841526Z,missing,935101,935101,20,False,True,False,routine_legitimate,2009-12-29T13:47:17.732841526Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000009,ord_0000492,v2_pay_0000009,cus_49caae89d8a88b32,2009-12-09T14:05:12.113730937Z,damaged,232552,232552,41,False,True,False,routine_legitimate,2009-12-23T14:05:12.113730937Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000010,ord_0000107,v2_pay_0000010,cus_bbba1b2dc00e5f52,2009-12-09T17:23:40.808047486Z,not_received,1053651,1053651,90,False,True,False,routine_legitimate,2009-12-31T17:23:40.808047486Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000011,ord_0000061,v2_pay_0000011,cus_de6805b88366d5d2,2009-12-10T01:04:47.022636984Z,size,799525,799525,47,True,False,False,routine_legitimate,2010-01-01T01:04:47.022636984Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000012,ord_0000102,v2_pay_0000012,cus_0e7056a60caf574f,2009-12-10T02:23:08.819862093Z,missing,3091591,3091591,177,True,True,False,routine_legitimate,2010-01-01T02:23:08.819862093Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000013,ord_0000427,v2_pay_0000013,cus_ec18f93dc434def9,2009-12-10T02:27:44.409606510Z,missing,7918475,7918475,578,False,True,False,routine_legitimate,2009-12-26T02:27:44.409606510Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000014,ord_0000074,v2_pay_0000014,cus_fcfeb2607944cf3c,2009-12-10T17:38:09.497903997Z,size,1261256,1261256,297,False,True,False,routine_legitimate,2009-12-30T17:38:09.497903997Z,evidence_inconclusive,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000015,ord_0000092,v2_pay_0000015,cus_e7780fdbd297bc56,2009-12-10T18:32:35.189826422Z,size,12723,12723,1,False,True,True,serial_false_claim,2009-12-24T18:32:35.189826422Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000016,ord_0000227,v2_pay_0000016,cus_7ca596803bff0a1d,2009-12-10T19:36:35.275720484Z,missing,23320409,23320409,1612,False,True,False,cold_start_customer,2010-01-02T19:36:35.275720484Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000017,ord_0000034,v2_pay_0000017,cus_2b3a0cbf66f48187,2009-12-11T04:23:35.026545049Z,size,1606764,1606764,104,False,True,False,routine_legitimate,2009-12-28T04:23:35.026545049Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000018,ord_0000200,v2_pay_0000018,cus_b8f446b2ec423670,2009-12-11T05:52:23.981648043Z,missing,726315,726315,4,False,False,False,unusual_legitimate_purchase,2010-01-01T05:52:23.981648043Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000019,ord_0000237,v2_pay_0000019,cus_84f1a20f056a895d,2009-12-11T12:48:07.981586977Z,other,324340,324340,10,True,False,False,missing_evidence,2009-12-30T12:48:07.981586977Z,evidence_inconclusive,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000020,ord_0000417,v2_pay_0000020,cus_df921be8d7056452,2009-12-11T16:42:30.245943678Z,other,1852055,1852055,111,False,True,False,routine_legitimate,2010-01-01T16:42:30.245943678Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000021,ord_0000396,v2_pay_0000021,cus_bddc482fb8d8ec39,2009-12-11T22:32:26.793144903Z,missing,556676,556676,22,False,False,False,verifier_unavailable,2010-01-03T22:32:26.793144903Z,verifier_unavailable,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000022,ord_0000348,v2_pay_0000022,cus_548aa41a5dbb6651,2009-12-11T23:21:42.424815244Z,missing,1264739,1264739,78,False,True,False,routine_legitimate,2010-01-01T23:21:42.424815244Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000023,ord_0000058,v2_pay_0000023,cus_bb7f365ec9cd7c77,2009-12-11T23:42:14.635151875Z,damaged,2687650,2687650,193,True,False,False,genuine_product_defect_burst,2009-12-31T23:42:14.635151875Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000024,ord_0000150,v2_pay_0000024,cus_86b13af6f4bdb548,2009-12-12T01:01:57.730930578Z,missing,711591,711591,81,False,True,False,routine_legitimate,2009-12-29T01:01:57.730930578Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000025,ord_0000687,v2_pay_0000025,cus_78c5838f7bfc871f,2009-12-12T01:19:36.974102022Z,size,1435994,1435994,122,False,True,False,routine_legitimate,2010-01-01T01:19:36.974102022Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000026,ord_0000420,v2_pay_0000026,cus_c2c4018418dbc962,2009-12-12T04:00:23.399922475Z,other,2253549,2253549,79,True,True,False,routine_legitimate,2009-12-26T04:00:23.399922475Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000027,ord_0000262,v2_pay_0000027,cus_096512e946ca1c3d,2009-12-12T06:10:18.250586178Z,damaged,543261,543261,37,False,True,False,routine_legitimate,2010-01-01T06:10:18.250586178Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000028,ord_0000749,v2_pay_0000028,cus_778f8d7589fbbd08,2009-12-12T13:47:01.413224265Z,other,360968,360968,104,False,True,False,high_value_loyal_customer,2010-01-01T13:47:01.413224265Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000029,ord_0000047,v2_pay_0000029,cus_f42a10965fcd997b,2009-12-12T15:45:38.386936918Z,other,2192350,2192350,142,False,False,False,routine_legitimate,2009-12-27T15:45:38.386936918Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000030,ord_0000435,v2_pay_0000030,cus_72f6550cc7c9185d,2009-12-12T17:17:44.143214019Z,missing,828277,828277,45,False,True,False,routine_legitimate,2009-12-26T17:17:44.143214019Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000031,ord_0000282,v2_pay_0000031,cus_635dc33b7c78145d,2009-12-12T20:19:59.124635732Z,size,340057,340057,58,False,True,False,first_time_refund,2009-12-28T20:19:59.124635732Z,inconsistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000032,ord_0000274,v2_pay_0000032,cus_38e7557898f90acb,2009-12-12T22:59:14.218094590Z,not_received,43605,43605,11,False,False,True,repeated_claim_pattern,2009-12-28T22:59:14.218094590Z,inconsistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000033,ord_0000382,v2_pay_0000033,cus_eed160cdd6154cf1,2009-12-13T00:51:49.634260632Z,missing,2033848,2033848,52,False,True,False,routine_legitimate,2010-01-01T00:51:49.634260632Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000034,ord_0000365,v2_pay_0000034,cus_9f7042f156349c78,2009-12-13T02:49:00.664979750Z,damaged,5664720,5664720,230,True,True,True,peer_deviation,2010-01-03T02:49:00.664979750Z,evidence_inconclusive,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000035,ord_0000751,v2_pay_0000035,cus_f67771118e914bb2,2009-12-13T03:09:46.766062792Z,missing,653298,653298,82,False,True,False,routine_legitimate,2009-12-27T03:09:46.766062792Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000036,ord_0000173,v2_pay_0000036,cus_4f81751c8becf53e,2009-12-13T09:38:03.301700539Z,missing,1009883,1009883,119,False,True,False,routine_legitimate,2010-01-03T09:38:03.301700539Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000037,ord_0000077,v2_pay_0000037,cus_7ae4831d11605963,2009-12-13T11:23:23.119572420Z,damaged,2485067,2485067,31,False,True,False,routine_legitimate,2010-01-02T11:23:23.119572420Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000038,ord_0000595,v2_pay_0000038,cus_ec31df8c6a2b38d9,2009-12-13T14:00:27.066517208Z,damaged,1075995,1075995,125,False,True,False,routine_legitimate,2009-12-29T14:00:27.066517208Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000039,ord_0000389,v2_pay_0000039,cus_869853261b22093d,2009-12-13T14:42:44.899883620Z,damaged,1293043,1293043,92,False,True,True,claim_timing,2010-01-05T14:42:44.899883620Z,inconsistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000040,ord_0000207,v2_pay_0000040,cus_8a7a256015389f23,2009-12-13T14:47:38.455270959Z,not_received,602353,602353,49,False,True,False,cold_start_customer,2010-01-03T14:47:38.455270959Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000041,ord_0000128,v2_pay_0000041,cus_9c2285e738d43e7f,2009-12-13T22:15:46.305533642Z,damaged,2106299,2106299,133,False,True,False,routine_legitimate,2010-01-04T22:15:46.305533642Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000042,ord_0000041,v2_pay_0000042,cus_96045bcde49cc135,2009-12-13T22:28:15.587476518Z,missing,589716,589716,85,False,True,False,routine_legitimate,2009-12-31T22:28:15.587476518Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000043,ord_0000352,v2_pay_0000043,cus_b9907b8f2c817328,2009-12-14T12:41:52.556827Z,size,181817,181817,68,False,True,False,unusual_legitimate_purchase,2010-01-01T12:41:52.556827Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000044,ord_0000663,v2_pay_0000044,cus_e86b0ff05d0fcf5b,2009-12-14T12:48:51.515493969Z,other,7738256,7738256,268,True,False,False,routine_legitimate,2010-01-06T12:48:51.515493969Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000045,ord_0000398,v2_pay_0000045,cus_84781149a39b7b97,2009-12-14T19:38:09.154831482Z,other,1088253,1088253,100,False,False,False,missing_evidence,2009-12-31T19:38:09.154831482Z,evidence_inconclusive,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000046,ord_0000182,v2_pay_0000046,cus_514a5de83567eb9f,2009-12-14T20:00:25.848608354Z,missing,1217811,1217811,242,False,False,False,routine_legitimate,2010-01-05T20:00:25.848608354Z,evidence_inconclusive,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000047,ord_0000359,v2_pay_0000047,cus_fe00044315dfe4f7,2009-12-14T20:25:00.081499158Z,missing,3798706,3798706,1580,False,True,False,routine_legitimate,2010-01-06T20:25:00.081499158Z,inconsistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000048,ord_0000690,v2_pay_0000048,cus_a0bc8eda4ecc910f,2009-12-14T22:24:43.861611784Z,not_received,41394,41394,1,False,False,False,routine_legitimate,2010-01-01T22:24:43.861611784Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000049,ord_0000315,v2_pay_0000049,cus_aef7e736106b0206,2009-12-15T07:13:48.683259848Z,missing,5777244,5777244,455,False,False,True,claim_reason_inconsistency,2010-01-06T07:13:48.683259848Z,inconsistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000050,ord_0000853,v2_pay_0000050,cus_cc87a7d6723f60d4,2009-12-15T07:25:14.207242192Z,missing,2249698,2249698,136,True,True,True,supporting_entity_pattern,2010-01-06T07:25:14.207242192Z,inconsistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000051,ord_0000532,v2_pay_0000051,cus_ce484986aa187416,2009-12-15T08:31:08.446395742Z,damaged,264351,264351,12,False,False,False,routine_legitimate,2010-01-05T08:31:08.446395742Z,evidence_inconclusive,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000052,ord_0000459,v2_pay_0000052,cus_f0bba1473af89f95,2009-12-15T09:43:02.200331647Z,damaged,6341488,6341488,137,False,False,True,cross_category_escalation,2010-01-02T09:43:02.200331647Z,inconsistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000053,ord_0000531,v2_pay_0000053,cus_2ea0eef22c296453,2009-12-15T11:34:17.626861475Z,not_received,1106265,1106265,42,False,True,False,routine_legitimate,2010-01-07T11:34:17.626861475Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000054,ord_0000131,v2_pay_0000054,cus_15f69faf0c740beb,2009-12-15T12:25:25.144405494Z,missing,330062,330062,180,False,False,False,verifier_unavailable,2010-01-05T12:25:25.144405494Z,verifier_unavailable,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000055,ord_0000963,v2_pay_0000055,cus_ce5417570ede6372,2009-12-15T12:26:23.339587924Z,not_received,304171,304171,34,False,False,False,routine_legitimate,2010-01-02T12:26:23.339587924Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000056,ord_0000403,v2_pay_0000056,cus_fe030cc9bad085ac,2009-12-15T13:14:06.572935604Z,missing,1172030,1172030,41,False,True,False,routine_legitimate,2009-12-31T13:14:06.572935604Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000057,ord_0000953,v2_pay_0000057,cus_b8f446b2ec423670,2009-12-15T19:43:47.423147472Z,size,273499,273499,16,False,True,False,routine_legitimate,2009-12-31T19:43:47.423147472Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000058,ord_0000669,v2_pay_0000058,cus_c8d736864a1d4d71,2009-12-16T00:17:12.462732680Z,missing,19323168,19323168,727,False,False,False,routine_legitimate,2010-01-03T00:17:12.462732680Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000059,ord_0000356,v2_pay_0000059,cus_fab729667badf601,2009-12-16T02:56:13.976462126Z,not_received,1245793,1245793,66,False,True,False,routine_legitimate,2010-01-01T02:56:13.976462126Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000060,ord_0000651,v2_pay_0000060,cus_6856342b22c510a7,2009-12-16T04:52:45.602211698Z,not_received,1015351,1015351,219,True,True,False,routine_legitimate,2010-01-02T04:52:45.602211698Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000061,ord_0000167,v2_pay_0000061,cus_0365c0e510b6c7e1,2009-12-16T06:13:18.119543976Z,size,1741199,1741199,35,False,True,False,routine_legitimate,2010-01-06T06:13:18.119543976Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000062,ord_0000541,v2_pay_0000062,cus_1eb4bf8ccd4e27f8,2009-12-16T11:35:21.288054838Z,not_received,1262456,1262456,51,False,True,False,routine_legitimate,2010-01-03T11:35:21.288054838Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
